source,stop_id,stop_code,notes
nwtb,AJ500,8498,DAUPHIN / TWEED per Street View as of 2020 (no collisions in database)
octranspo-legacy-gtfs,AJ500,8498,DAUPHIN / TWEED per Street View (no collisions in database)
nwtb,CK211,5718,PROMENADE / TERRASSES #2 similar to PROMENADE / TERRASSES DE LA CHAUDIÈRE
octranspo-legacy-gtfs,DT017,6843,BANK / GLEBE per Street View as of 2023 (collides with same name in database)
nwtb,DT021,TMP1,CATHERINE / METCALFE temp for route 5
octranspo-legacy-gtfs,DT021,TMP1,CATHERINE / METCALFE temp for route 5
nwtb,DT022,TMP2,ARGYLE / METCALFE temp for route 5
octranspo-legacy-gtfs,DT022,TMP2,ARGYLE / METCALFE temp for route 5
nwtb,DT051,7072,RING ROAD close enough to CHEO HOSPITAL stops per Street View
octranspo-legacy-gtfs,DT051,7072,RING ROAD close enough to CHEO HOSPITAL stops per Street View
nwtb,NC941,3012,WESTBORO OFF ONLY "off only" so use code for WESTBORO station
octranspo-legacy-gtfs,NC941,3012,WESTBORO OFF ONLY "off only" so use code for WESTBORO station
nwtb,NH921,3013,DOMINION STN OFF ONLY "off only" so use code for DOMINION station
octranspo-legacy-gtfs,NH921,3013,DOMINION STN OFF ONLY "off only" so use code for DOMINION station
octranspo-legacy-gtfs,DT032,TMP3,Gatineau temp for routes 63 and 66
octranspo-legacy-gtfs,DT033,TMP4,Gatineau temp for routes 63 and 66
